date,title,url,excerpt
"February 28, 2025",AECOM Selected as San Fernando Transit Contractors’ Lead Designer for Advancing the Final Design for Phase 2 of the East San Fernando Valley Light Rail Transit Project,https://aecom.com/press-releases/aecom-selected-as-san-fernando-transit-contractors-lead-designer-for-advancing-the-final-design-for-phase-2-of-the-east-san-fernando-valley-light-rail-transit-project/,"LOS ANGELES (February 28, 2025) — AECOM, the trusted global infrastructure leader, today announced it will serve as lead designer under the San Fernando Transit Constructors (SFTC) joint venture team to advance the Phase 2 final design for the Los Angeles County Metropolitan Transportation Authority’s (Metro) East San Fernando Valley Light Rail Transit Project. The project...Read more"
"February 24, 2025","AECOM Tishman Executive Vice President Allan Paull, PE, Selected as President of Building Contractors Association in New York",https://aecom.com/press-releases/aecom-tishman-executive-vice-president-allan-paull-pe-selected-as-president-of-building-contractors-association-in-new-york/,"Key Industry Association Dedicated to Facilitating Productive Relationships with Labor Leaders Across New York Region NEW YORK (February 24, 2025) — AECOM Tishman, one of the nation’s leading builders for over 125 years, today announced that Executive Vice President Allan Paull, Civil/Structural Engineering, PE, has been selected as President of the Building Contractors Association (BCA),...Read more"
"February 24, 2025",AECOM appoints Joanne McCall as Canada Transportation Regional Business Line Lead,https://aecom.com/press-releases/aecom-appoints-joanne-mccall-as-canada-transportation-regional-business-line-lead/,"TORONTO — (February 24, 2025) AECOM, the trusted global infrastructure leader, is pleased to announce the appointment of Joanne McCall as the Canada Transportation Regional Business Line Lead. In this role, she will drive AECOM’s business growth and strategic priorities across the region, ensuring the company’s continued success in addressing the evolving needs of clients. ...Read more"
"February 19, 2025",AECOM secures landmark environmental services contract for California Department of Transportation,https://aecom.com/press-releases/aecom-secures-landmark-environmental-services-contract-for-california-department-of-transportation/,"DALLAS (February 19, 2024) AECOM, the trusted global infrastructure leader, today announced it has been awarded a $27 million environmental generalist services contract by the California Department of Transportation (Caltrans) District 4. This contract marks the largest environmental services contract Caltrans has awarded to AECOM, solidifying AECOM’s position as a leading partner in delivering innovative...Read more"
"February 11, 2025",AECOM to advance industrial decarbonization by delivering environmental services for the U.S. Department of Energy’s Pacific Northwest Hydrogen Hub,https://aecom.com/press-releases/aecom-to-advance-industrial-decarbonization-by-delivering-environmental-services-for-the-u-s-department-of-energys-pacific-northwest-hydrogen-hub/,"DALLAS (February 11, 2025) — AECOM, the trusted global infrastructure leader, today announced it has been selected by the Pacific Northwest Hydrogen Hub to provide environmental compliance support and prepare the programmatic NEPA Environmental Impact Statement for the Pacific Northwest Hydrogen Hub. This project is part of the U.S. Department of Energy (DOE) Office of...Read more"
"February 10, 2025",AECOM announces key leadership appointments,https://aecom.com/press-releases/aecom-announces-key-leadership-appointments/,"DALLAS (February 10, 2025) — AECOM, the trusted global infrastructure leader, today announced key leadership appointments to further strengthen its global operations and enhance client delivery. Bane Gaiser has been named Buildings + Places Global Business Line Chief Executive, Richard Whitehead as Europe & India Regional Chief Executive, and Sam Donelson as U.S. East &...Read more"
"February 3, 2025",AECOM reports first quarter fiscal 2025 results,https://aecom.com/press-releases/aecom-reports-first-quarter-fiscal-2025-results/,Read more
"January 29, 2025",AECOM achieves No. 1 ranking by Fortune magazine as the World’s Most Admired Company in its industry,https://aecom.com/press-releases/aecom-achieves-no-1-ranking-by-fortune-magazine-as-the-worlds-most-admired-company-in-its-industry/,"DALLAS (January 29, 2025) —AECOM (NYSE: ACM), the trusted global infrastructure leader, announced today that it has been recognized as the No. 1 ranking on Fortune magazine’s list of the World’s Most Admired Companies in its industry, marking the eleventh consecutive year the Company has been recognized on this list. “Earning the top position in...Read more"
"January 27, 2025","AECOM Hunt breaks ground on The Mix, a highly anticipated mixed-use development in Frisco, Texas",https://aecom.com/press-releases/aecom-hunt-breaks-ground-on-the-mix-friscos-highly-anticipated-mixed-use-development/,"112-acre development will bring a vibrant mix of new residential and commercial offerings to community FRISCO (January 17, 2025) — Joined by developer The Mix Partners, City of Frisco officials, and local community leaders, AECOM Hunt broke ground today on The Mix, an expansive mixed-use development that brings the unexpected to the North Platinum Corridor....Read more"
"January 21, 2025",AECOM to deliver Investigation Study for Hong Kong’s first Wetland Conservation Park in the Northern Metropolis,https://aecom.com/press-releases/hong-kong-wetland-conservation-park/,"HONG KONG (January 21, 2025) — AECOM, the trusted global infrastructure leader, today announced it has been selected by the Civil Engineering and Development Department (CEDD) and Agriculture, Fisheries and Conservation Department (AFCD) of the HKSAR Government to deliver the Investigation Study for Sam Po Shue Wetland Conservation Park (SPS WCP). Spanning 348 hectares, the...Read more"
